Date,Open,High,Low,Close,Volume
2020-03-30,40.453,40.749,40.008,40.501,22786386
2020-03-31,40.946,41.095,40.403,40.551,23563610
2020-04-01,40.601,41.193,40.206,40.255,12775880
2020-04-02,40.106,40.946,39.86,40.749,11854626
2020-04-03,40.848,40.996,40.551,40.749,12535546
2020-04-06,41.193,41.786,40.848,41.391,5934640
2020-04-07,41.539,42.181,41.44,42.181,17103848
2020-04-08,41.786,41.786,41.391,41.49,10455700
2020-04-09,41.885,41.934,41.638,41.885,3890150
2020-04-14,41.836,42.132,41.539,42.033,9555490
2020-04-15,42.083,42.28,41.391,41.49,12789142
2020-04-16,41.391,41.836,41.391,41.638,12315215
2020-04-17,41.983,42.478,41.983,42.083,12926928
2020-04-20,42.231,42.33,42.033,42.181,11454432
2020-04-21,42.181,42.181,41.243,41.341,13652852
2020-04-22,41.391,42.033,41.293,42.033,10012087
2020-04-23,42.181,42.28,41.934,41.934,9297480
2020-04-24,41.885,41.934,41.539,41.638,5428462
2020-04-27,41.934,42.28,41.836,42.132,8785792
2020-04-28,42.033,42.33,41.391,42.132,10232317
2020-04-29,42.231,42.576,42.132,42.33,8012938
2020-05-04,41.391,41.391,40.749,40.749,6829418
2020-05-05,40.996,41.293,40.946,41.293,2540847
2020-05-06,41.243,43.12,41.243,42.823,15663909
2020-05-07,42.823,43.07,42.725,42.971,6127338
2020-05-08,43.17,43.762,43.17,43.515,6710810
2020-05-11,43.515,44.008,43.367,43.465,7477657
2020-05-12,43.218,43.565,43.17,43.367,7989626
2020-05-13,43.218,43.565,43.12,43.367,4806810
2020-05-14,43.268,43.367,43.021,43.021,6536290
2020-05-15,43.268,43.268,42.725,42.725,4735368
2020-05-18,42.823,43.07,42.675,42.873,3843178
2020-05-19,43.317,43.416,43.07,43.17,5263313
2020-05-20,43.317,43.416,42.971,43.07,2261115
2020-05-21,43.317,43.317,42.725,42.823,5975296
2020-05-22,42.576,42.626,41.539,41.539,11385595
2020-05-25,41.539,41.786,41.391,41.688,6459681
2020-05-26,41.736,42.33,41.736,42.181,8733685
2020-05-27,42.181,42.28,41.688,41.885,10612630
2020-05-28,41.786,42.231,41.49,41.885,14137846
2020-05-29,41.638,42.132,41.588,41.836,6905093
2020-06-01,42.103,43.465,42.103,43.208,13852671
2020-06-02,43.268,43.663,43.268,43.565,11292907
2020-06-03,44.058,44.216,43.623,43.683,10625051
2020-06-04,43.86,43.88,43.485,43.603,7074956
2020-06-05,43.584,44.157,43.565,44.157,8720566
2020-06-08,44.255,44.592,44.137,44.355,6562103
2020-06-09,44.433,44.71,44.375,44.433,6904890
2020-06-10,44.473,44.65,44.433,44.493,9780863
2020-06-11,44.453,44.73,43.88,43.94,12818692
2020-06-12,43.663,44.295,43.426,43.999,15409870
2020-06-15,43.782,44.078,43.347,43.485,14748242
2020-06-16,43.96,44.375,43.96,44.236,14485995
2020-06-17,44.236,44.375,43.999,44.295,11282076
2020-06-18,44.295,44.789,44.157,44.75,9502369
2020-06-19,44.75,45.56,44.572,45.263,20849547
2020-06-22,45.322,45.757,45.263,45.402,12486955
2020-06-23,45.402,45.797,45.027,45.737,14537209
2020-06-24,45.935,46.132,45.817,45.837,9595028
2020-06-26,45.442,45.797,45.442,45.678,4293407
2020-06-29,45.619,45.975,45.362,45.639,21752076
